"Country","Year","Number of physicians","Number of nursing and midwifery personnel","Number of dentistry personnel","Number of pharmaceutical personnel","Number of laboratory health workers","Number of environment and public health workers","Number of community and traditional health workers","Number of other health workers","Number of health management &amp; support workers"
"Tajikistan"," 2006","13268","","","","","","","",""
"Tajikistan"," 2005","13272","","","","","","","",""
"Tajikistan"," 2004","13000","","","","","","","",""
"Tajikistan"," 2003","12688","","","","","","","",""
"Tajikistan"," 2002","13117","","","","","","","",""
"Tajikistan"," 2001","13421","","","","","","","",""
"Tajikistan"," 2000","13500","","","","","","","",""
"Tajikistan"," 1999","12965","","","","","","","",""
"Tajikistan"," 1998","12551","","","","","","","",""
"Tajikistan"," 1991","14160","","","","","","","",""
"Thailand"," 2010","26244","138710","17222","8700","","37774","","7881",""
"Thailand"," 2009","22651","109797","14176","8390","1134","27372","","7613",""
"Thailand"," 2008","21051","105398","13147","8565","1096","26964","","8036",""
"Thailand"," 2007","19584","101143","12616","7940","1177","30552","","7635",""
"Thailand"," 2006","18918","101664","12502","7937","988","29684","","7761",""
"Thailand"," 2004","18918","96704","4129","7413","","","","",""
"Thailand"," 2002","18987","84683","4471","7350","","","","",""
"Thailand"," 2001","18947","78042","4317","6858","","","","",""
"Thailand"," 2000","22435","172477","10459","15480","","2151","3601","50296","117384"
"Thailand"," 1999","18140","68008","4026","6062","","","","",""
"Thailand"," 1998","17955","63708","3917","5911","","","","",""
"Thailand"," 1997","16569","56366","3414","5941","","","","",""
"Thailand"," 1995","14181","54262","2920","5867","","","","",""
"Thailand"," 1993","13634","46671","2786","4721","","","","",""
"Thailand"," 1991","12803","40685","2408","4333","","","","",""
"Thailand"," 1989","12713","37515","2107","3825","","","","",""
"Thailand"," 1987","9580","30752","1468","3622","","","","",""
"Thailand"," 1985","8530","28019","1451","3376","","","","",""
"Thailand"," 1983","7848","23565","1247","2990","","","","",""
"Thailand"," 1981","6931","19599","1057","2680","","","","",""
"Thailand"," 1979","6619","17211","978","2496","","","","",""
"Thailand"," 1977","5790","15231","815","2236","","","","",""
"Thailand"," 1975","5005","12658","652","1913","","","","",""
"Thailand"," 1973","4607","10562","596","1627","","","","",""
"Thailand"," 1971","4085","9360","531","1577","","","","",""
"The former Yugoslav republic of Macedonia"," 2011","","","","3271","","","","",""
"The former Yugoslav republic of Macedonia"," 2009","5364","","1425","","","","","13364","5052"
"Timor-Leste"," 2011","84","1283","46","131","180","91","","46","620"
"Timor-Leste"," 2010","84","1255","44","130","171","89","","46","614"
"Timor-Leste"," 2009","46","1216","40","61","148","81","","21","600"
"Timor-Leste"," 2008","38","1103","29","50","107","71","","18","541"
"Timor-Leste"," 2007","35","1057","28","24","81","51","","19","501"
"Timor-Leste"," 2004","79","1795","45","14","36","22","1657","18","184"
"Timor-Leste"," 2001","3","474","10","3","34","21","","5","92"
"Togo"," 2008","349","1816","19","11","377","68","","2919","2483"
"Togo"," 2007","290","2472","19","13","420","251","","1548","2364"
"Togo"," 2004","225","1937","19","134","528","289","475","606","1335"
"Tonga"," 2012","","","","9","","","","",""
"Tonga"," 2010","58","400","","","","","","",""
"Tonga"," 2009","62","378","37","15","35","37","","165","50"
"Tonga"," 2008","57","364","","","","","","",""
"Tonga"," 2007","58","302","","","","","","",""
"Tonga"," 2003","","","23","","","","","",""
"Tonga"," 2002","30","350","","","","","","",""
"Tonga"," 2001","35","341","33","17","","","","",""
"Trinidad and Tobago"," 2007","1543","4677","294","641","","","","98",""
"Trinidad and Tobago"," 2006","1592","4629","284","565","","","","100",""
"Trinidad and Tobago"," 2003","1038","3980","249","525","","","","60",""
"Trinidad and Tobago"," 2002","1054","3815","220","501","","","","74",""
"Trinidad and Tobago"," 2001","1234","3532","218","506","","","","74",""
"Trinidad and Tobago"," 2000","1275","3294","198","550","","","","71",""
"Trinidad and Tobago"," 1999","1171","3649","189","500","","","","62",""
"Trinidad and Tobago"," 1998","1185","3441","189","530","","","","58",""
"Trinidad and Tobago"," 1997","949","2891","160","518","","","","54",""
"Trinidad and Tobago"," 1996","957","2851","141","514","","","","45",""
"Trinidad and Tobago"," 1995","1183","3737","134","534","","","","44",""
"Tunisia"," 2010","12996","","3130","3236","","","","34195",""
"Tunisia"," 2009","12535","34551","2528","2106","","","","",""
"Tunisia"," 2008","12095","34304","2293","2085","","","","",""
"Tunisia"," 2007","10554","","","","","","","31758",""
"Tunisia"," 2006","","","1858","2255","","","","40465",""
"Tunisia"," 2005","9422","","1850","2114","","","","29607",""
"Tunisia"," 2004","13330","28537","2452","2909","3936","890","","10799","17608"
"Tunisia"," 2003","8189","20674","","","","","","",""
"Tunisia"," 2002","7964","","1394","2050","","","","28629",""
"Tunisia"," 2001","7767","","1380","1998","","","","30392",""
"Tunisia"," 2000","7444","","1315","1951","","","","27392",""
"Tunisia"," 1999","7149","","1301","1690","","","","27050",""
"Tunisia"," 1998","6819","","1276","1623","","","","26676",""
"Tunisia"," 1997","6464","","1200","1567","","","","26369",""
"Tunisia"," 1996","6177","","1108","1531","","","","26130",""
"Tunisia"," 1995","5965","","1038","1499","","","","25874",""
"Tunisia"," 1994","5344","","1008","1417","","","","25466",""
"Tunisia"," 1993","5257","","1004","1323","","","","25291",""
"Tunisia"," 1992","5099","","969","1330","","","","25070",""
"Tunisia"," 1991","4500","","811","1304","","","","24555",""
"Tunisia"," 1990","4424","","809","1240","","","","23743",""
"Turkey"," 2011","126029","176887","21099","26089","","","","110862",""
"Turkey"," 2010","123447","165115","21432","26506","","","","99302",""
"Turkey"," 2009","118641","154533","20589","25201","","","","93550",""
"Turkey"," 2008","113151","147583","19959","24778","","","","89540",""
"Turkey"," 2007","108402","141836","19278","23977","","","","79441",""
"Turkey"," 2006","104475","127109","18332","23140","","","","67514",""
"Turkey"," 2005","100853","121723","18149","22756","","","","62035",""
"Turkey"," 2004","97110","118982","17893","22608","","","","60959",""
"Turkey"," 2003","94466","116145","17744","22371","","","","57416",""
"Turkey"," 2002","91949","113872","16371","22289","","","","50106",""
"Turkey"," 2001","89804","114298","16075","22119","","","","52993",""
"Turkey"," 2000","85242","111144","15906","21927","","","","51887",""
"Turkey"," 1999","81988","111541","14226","22065","","","","43032",""
"Turkey"," 1998","77344","110305","13421","21441","","","","41461",""
"Turkey"," 1997","73659","107495","12737","20557","","","","39658",""
"Turkey"," 1996","70947","103471","12406","19681","","","","39075",""
"Turkey"," 1995","69349","103794","11717","19090","","","","34342",""
"Turkey"," 1994","65832","91884","11457","18366","","","","30811",""
"Turkey"," 1993","61050","90531","11069","17696","","","","28776",""
"Turkey"," 1992","56985","85552","10703","16593","","","","24160",""
"Turkey"," 1991","53264","81264","10623","16002","","","","23813",""
"Turkey"," 1990","50639","75399","10514","15792","","","","21547",""
"Turkey"," 1989","46708","71179","10132","15201","","","","18869",""
"Turkey"," 1988","42502","64568","9639","14567","","","","18831",""
"Turkey"," 1987","38829","56837","8589","13668","","","","12352",""
"Turkey"," 1986","37142","51519","8410","12866","","","","11684",""
"Turkey"," 1985","36427","48841","8305","11602","","","","10525",""
"Turkey"," 1984","34195","45797","8133","11586","","","","10456",""
"Turkey"," 1983","32263","43886","7763","11527","","","","10704",""
"Turkey"," 1982","30956","42697","7625","11428","","","","11830",""
"Turkey"," 1981","28411","43349","6790","11610","","","","12226",""
"Turkey"," 1980","27241","42760","7077","12059","","","","11664",""
"Turkey"," 1979","26298","39701","7021","11865","","","","11606",""
"Turkey"," 1978","25230","37185","6826","11280","","","","11141",""
"Turkey"," 1977","23920","36644","5954","10572","","","","11183",""
"Turkey"," 1976","23388","30439","5379","7828","","","","11517",""
"Turkey"," 1975","21714","27781","5046","7002","","","","11021",""
"Turkey"," 1974","20868","24869","4269","4715","","","","8479",""
"Turkey"," 1973","18511","26968","4279","4781","","","","11025",""
"Turkey"," 1972","16290","24414","3789","3981","","","","10426",""
"Turkey"," 1971","16514","21612","3517","3477","","","","10285",""
"Turkey"," 1970","15856","20117","3245","3011","","","","9954",""
"Turkmenistan"," 2013","","","610","906","","","","",""
"Turkmenistan"," 2002","20032","43359","876","1626","","","","7846",""
"Tuvalu"," 2009","12","","","","","","","",""
"Tuvalu"," 2008","10","64","4","2","1","12","","9","4"
"Tuvalu"," 2003","10","50","2","2","","","","",""
"Tuvalu"," 2002","6","39","2","1","","","","",""
"Uganda"," 2012","","","","1200","","","","",""
"Uganda"," 2005","3361","37625","440","762","","","5430","15400","3093"
"Uganda"," 2004","2209","18969","363","688","1702","1042","","4128","6344"
"Ukraine"," 2013","158344","342833","30934","1870","","","","",""
"Ukraine"," 2001","","","","23576","","","","",""
"United Arab Emirates"," 2011","","24936","","","","","","",""
"United Arab Emirates"," 2010","12752","24362","","","","","","",""
"United Arab Emirates"," 2009","12006","22039","","","","","","",""
"United Arab Emirates"," 2008","13311","24131","","","","","","",""
"United Arab Emirates"," 2007","9215","17336","2053","2817","","","","",""
"United Arab Emirates"," 2006","","16239","","","","","","",""
"United Arab Emirates"," 2005","6946","14844","","","","","","",""
"United Arab Emirates"," 2004","","14362","1368","2006","","","","",""
"United Arab Emirates"," 2003","","14057","","","","","","",""
"United Arab Emirates"," 2002","","12854","850","1200","","","","",""
"United Arab Emirates"," 2001","5825","14439","954","1086","","","","",""
"United Arab Emirates"," 2000","","9883","","","","","","",""
"United Arab Emirates"," 1999","","10799","","","","","","",""
"United Arab Emirates"," 1998","","12288","","","","","","",""
"United Arab Emirates"," 1997","","9486","","","","","","",""
"United Arab Emirates"," 1996","","9050","","","","","","",""
"United Arab Emirates"," 1995","","8648","","","","","","",""
"United Arab Emirates"," 1994","","8506","","","","","","",""
"United Arab Emirates"," 1993","","8279","","","","","","",""
"United Arab Emirates"," 1992","","8215","","","","","","",""
"United Arab Emirates"," 1991","","7423","","","","","","",""
"United Arab Emirates"," 1990","","5178","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland"," 2013","177449","556051","33968","51315","","","","",""
"United Kingdom of Great Britain and Northern Ireland"," 1997","133641","709209","90251","29726","20035","14439","","651492","741664"
"United Republic of Tanzania"," 2012","1481","20800","509","656","2309","2047","","33357","317"
"United Republic of Tanzania"," 2006","300","9440","230","81","","","","6811",""
"United Republic of Tanzania"," 2002","822","13292","267","365","1520","1831","","30051","360"
"United States of America"," 2011","767782","","","","","","","2648360",""
"United States of America"," 2010","752572","","","275000","","","","2678940",""
"United States of America"," 2009","749566","","","","","","","2630330",""
"United States of America"," 2008","740867","","","","","","","",""
"United States of America"," 2007","732234","","","","","","","",""
"United States of America"," 2006","723118","","","","","","","",""
"United States of America"," 2005","718473","2927000","","","","","","1474000",""
"United States of America"," 2004","793648","","","","","","","",""
"United States of America"," 2000","730801","2669603","463663","249642","651035","","","4138567","3528040"
"United States of America"," 1995","646610","2375000","","","","","","1757000",""
"United States of America"," 1985","525070","1862100","","","","","","",""
"Uruguay"," 2008","13197","19595","2476","1877","601","","","4838","2456"
"Uruguay"," 2002","12384","2880","3936","","","","","",""
"Uzbekistan"," 2013","71971","339015","4749","1127","","","","51816",""
"Uzbekistan"," 2012","72007","335616","4719","1118","","","","52184",""
"Uzbekistan"," 2011","72547","331046","4861","1080","","","","52928",""
"Uzbekistan"," 2010","72522","324493","4693","1074","","","","51440",""
"Uzbekistan"," 2009","72144","313576","4468","992","","","","49992",""
"Vanuatu"," 2008","26","380","3","2","","","212","58",""
"Vanuatu"," 2007","26","344","","","","10","113","228","56"
"Vanuatu"," 2004","30","360","","","","","","",""
"Vanuatu"," 1997","20","428","","","","","","",""
"Venezuela (Bolivarian Republic of)"," 2001","48000","28000","13680","","","","","",""
"Venezuela (Bolivarian Republic of)"," 1997","","15020","","","","","","",""
"Viet Nam"," 2013","107867","112029","","","","","","",""
"Viet Nam"," 2012","114409","115131","","","","","","",""
"Viet Nam"," 2011","102925","100972","","27734","","","","",""
"Viet Nam"," 2010","99621","94049","","","","","","",""
"Viet Nam"," 2009","98268","84638","","","","","","",""
"Viet Nam"," 2008","107131","88025","","28370","","","","",""
"Viet Nam"," 2007","103637","81146","","26609","","","","",""
"Viet Nam"," 2006","101638","74441","","24149","","","","",""
"Viet Nam"," 2005","101117","69665","","23218","","","","",""
"Viet Nam"," 2002","44960","61810","","24080","","","","",""
"Viet Nam"," 2001","42327","59201","","5977","","","","",""
"Yemen"," 2010","4834","16590","897","2295","3890","596","19","7429","10585"
"Yemen"," 2009","7127","","2375","","","","","",""
"Yemen"," 2008","6909","","2303","","","","","",""
"Yemen"," 2004","6739","13746","850","2638","4709","792","6025","4580","13037"
"Yemen"," 1997","3814","6627","256","1212","1211","","","3758",""
"Zambia"," 2012","2399","","401","1223","682","566","","4916",""
"Zambia"," 2011","2312","","373","1082","599","493","","4618",""
"Zambia"," 2010","836","9932","246","317","546","1130","","14261","460"
"Zambia"," 2009","801","9497","241","306","","1110","","14718","885"
"Zambia"," 2008","795","9091","","","","948","8977","1573",""
"Zambia"," 2006","649","8369","","","556","803","","1632","11003"
"Zambia"," 2005","646","8369","","","417","803","9812","12392","385"
"Zambia"," 2004","1499","22010","491","804","1415","1027","","3330","10853"
"Zimbabwe"," 2011","1054","17022","255","467","674","1829","","1268","5677"
"Zimbabwe"," 2010","916","17029","239","472","623","1478","","1315","5314"
"Zimbabwe"," 2009","827","16668","182","2528","525","1174","","1428","6656"
"Zimbabwe"," 2008","738","13699","181","332","578","1195","","1456","5904"
"Zimbabwe"," 2007","667","14768","192","318","474","1262","","1342","6228"
"Zimbabwe"," 2004","2086","9357","310","883","481","","","3185",""
"Zimbabwe"," 1995","1630","17421","185","703","747","1063","","115",""
"Zimbabwe"," 1990","1320","15169","153","506","334","941","","57",""
"Zimbabwe"," 1985","1058","12572","108","376","248","437","","37",""
