,,,,95,1.159,98,0.699,95,1.959,65,0.797,87,0.563,,,,,78,4.733
,,,,81,0.172,98,2.048,89,0.177,86,1.428,89,1.175,,,,,62,0.545
,,,,93,0.083,82,0.827,97,2.569,56,0.053,98,1.023,,,,,93,0.158
,,,,,,80,1.381,87,2.087,97,3.66,96,1.442,,,,,82,1.421
,,,,,,94,1.459,98,0.62,97,5.299,92,1.93,,,,,81,2.064
,,,,,,56,0.058,91,0.469,94,1.969,94,2.41,,,,,96,0.298
,,,,,,98,2.068,99,0.714,97,0.052,60,0.119,,,,,96,1.341
,,,,,,97,3.868,93,2.679,96,0.164,67,1.199,,,,,77,1.343
,,,,,,97,7.739,98,0.679,38,0.452,72,0.051,,,,,62,0.083
,,,,,,94,2.024,63,0.408,98,2.021,,,,,,,92,2.672
,,,,,,97,0.056,97,1.988,88,0.059,,,,,,,63,0.138
,,,,,,98,2.386,78,0.813,99,0.843,,,,,,,48,0.325
,,,,,,99,1.19,69,1.45,77,0.016,,,,,,,68,0.161
,,,,,,86,0.022,85,1.357,96,1.747,,,,,,,,
,,,,,,96,1.921,93,0.92,97,4.89,,,,,,,,
,,,,,,99,3.354,96,3.755,98,0.587,,,,,,,,
,,,,,,97,5.08,99,5.818,78,0.28,,,,,,,,
,,,,,,99,0.68,94,2.032,83,1.5,,,,,,,,
,,,,,,84,1.455,97,0.056,86,2.052,,,,,,,,
,,,,,,98,0.393,98,2.044,98,0.32,,,,,,,,
,,,,,,72,0.068,93,2.114,79,0.034,,,,,,,,
,,,,,,82,0.563,99,1.226,24,0.053,,,,,,,,
,,,,,,98,1.222,97,1.833,84,0.553,,,,,,,,
,,,,,,96,1.581,99,3.296,99,1.16,,,,,,,,
,,,,,,94,2.533,92,0.224,92,1.486,,,,,,,,
,,,,,,92,2.41,96,4.991,99,0.909,,,,,,,,
,,,,,,99,2.538,97,0.642,92,2.737,,,,,,,,
,,,,,,88,1.11,88,0.17,94,2.416,,,,,,,,
,,,,,,87,0.197,84,1.428,94,3.736,,,,,,,,
,,,,,,83,0.066,98,0.342,61,0.116,,,,,,,,
,,,,,,89,0.068,95,2.624,87,1.224,,,,,,,,
,,,,,,,,72,0.039,87,0.3,,,,,,,,
,,,,,,,,84,0.602,87,0.065,,,,,,,,
,,,,,,,,99,1.19,75,0.056,,,,,,,,
,,,,,,,,94,1.538,,,,,,,,,,
,,,,,,,,91,1.091,,,,,,,,,,
,,,,,,,,93,2.428,,,,,,,,,,
,,,,,,,,92,2.422,,,,,,,,,,
,,,,,,,,98,2.561,,,,,,,,,,
,,,,,,,,94,1.109,,,,,,,,,,
,,,,,,,,86,0.3,,,,,,,,,,
,,,,,,,,94,0.064,,,,,,,,,,
,,,,,,,,73,0.062,,,,,,,,,,
